Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
809,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,1,6,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,2,6,1,6,4,1,
810,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,5012197000,1,6,TRUE,TRUE,4,6,3,6,1,6,2,6,1,6,3,6,1,6,3,6,
811,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,SAINT JOHNS,9048194426,1,10,TRUE,TRUE,3,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
812,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,6617254800,1,6,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,3,6,2,6,
813,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,LOS ANGELES,6268511011,1,9,TRUE,TRUE,3,4,4,1,3,6,4,1,1,6,1,6,4,1,4,1,
814,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,MCDUFFIE,7065951411,1,2,TRUE,TRUE,3,6,4,1,4,1,3,6,3,6,2,6,3,6,4,1,
815,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,MONTEREY,8317574333,1,9,TRUE,TRUE,4,6,3,6,1,6,3,6,3,6,3,6,3,6,1,6,
816,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,1,10,TRUE,TRUE,2,6,3,6,4,1,2,6,3,6,2,6,1,6,4,1,
817,ESTES PARK MEDICAL CENTER,555 PROSPECT AVENUE,ESTES PARK,CO,80517,LARIMER,9705864439,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,3,6,
818,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,5017766000,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,1,6,3,6,
819,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1201 W LA VETA AVE,ORANGE,CA,92868,ORANGE,7149973000,2,9,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
820,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,ASHLEY,8703644111,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,2,6,
821,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,3109008900,1,8,TRUE,TRUE,3,6,1,6,1,6,1,6,2,6,3,6,2,6,3,6,
822,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,PULASKI,5015527100,1,8,TRUE,TRUE,2,6,3,6,4,1,3,6,2,6,3,6,1,6,3,6,
823,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,6262895454,1,5,TRUE,TRUE,4,6,1,6,1,6,1,6,2,6,3,6,3,6,3,6,
824,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,MARYSVILLE,CA,95901,YUBA,5307494300,1,10,TRUE,TRUE,1,6,2,6,2,6,3,6,2,6,3,6,2,6,1,6,
825,FLORIDA HOSPITAL NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,FL,34689,PINELLAS,7279425000,1,9,TRUE,TRUE,3,6,3,6,2,6,3,6,3,6,3,6,1,6,4,1,
826,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,5625951911,1,6,TRUE,FALSE,2,6,4,1,3,6,4,1,2,6,3,6,3,6,4,1,
827,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,6027956020,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
828,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,CO,80501,BOULDER,3036515111,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,1,6,3,6,
829,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,7075545280,1,10,TRUE,FALSE,3,6,3,6,3,6,3,6,3,6,3,6,2,6,3,6,
830,SEBASTIAN RIVER MEDICAL CENTER,13695 US HWY 1,SEBASTIAN,FL,32978,INDIAN RIVER,7725893187,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,1,6,3,6,2,6,
831,FLORIDA HOSPITAL FLAGLER,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,FLAGLER,3865862000,1,8,TRUE,TRUE,3,6,2,6,1,6,2,6,3,6,3,6,3,6,3,6,
832,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,5204173001,1,9,TRUE,TRUE,1,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
833,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,2515782480,1,6,TRUE,TRUE,3,6,3,6,4,1,3,6,1,6,3,6,3,6,3,6,
834,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,FL,33936,LEE,2393692101,1,10,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,2,6,3,6,
835,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,SAN MATEO,6502992000,1,9,TRUE,TRUE,3,4,4,1,3,6,4,1,1,6,3,6,4,1,4,1,
836,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,17100 EUCLID STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,7149667200,1,6,TRUE,TRUE,4,6,1,6,1,6,1,6,2,6,3,6,2,6,3,6,
837,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,6619495000,1,2,TRUE,TRUE,1,6,2,6,2,6,3,6,2,6,3,6,2,6,3,6,
838,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 11TH ST,VICTORVILLE,CA,92392,SAN BERNARDINO,7602458691,1,10,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,2,6,4,1,
839,VENTURA COUNTY MEDICAL CENTER,3291 LOMA VISTA RD,VENTURA,CA,93003,VENTURA,8056526075,1,3,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,2,6,2,6,3,6,
840,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,COSTA MESA,CA,92627,ORANGE,9496422734,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
841,ST MARYS  MEDICAL CENTER,2635 N 7TH STREET,GRAND JUNCTION,CO,81502,MESA,9702981950,1,8,TRUE,TRUE,3,6,3,6,2,6,1,6,1,6,3,6,3,6,3,6,
842,DESERT VALLEY HOSPITAL,16850 BEAR VALLEY RD,VICTORVILLE,CA,92395,SAN BERNARDINO,7602418000,1,6,TRUE,TRUE,2,6,1,6,1,6,2,6,2,6,3,6,2,6,4,1,
843,JAY HOSPITAL,14114 ALABAMA ST,JAY,FL,32565,SANTA ROSA,8506754532,1,10,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
844,SHRINERS HOSPITALS FOR CHILDREN,3160 GENEVA STREET,LOS ANGELES,CA,90020,LOS ANGELES,2133883151,2,10,FALSE,FALSE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
845,FLORIDA HOSPITAL TAMPA,3100 E FLETCHER AVE,TAMPA,FL,33613,HILLSBOROUGH,8136157200,1,10,TRUE,TRUE,2,6,2,6,2,6,2,6,2,6,3,6,3,6,3,6,
846,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,SAN DIEGO,6194356251,1,6,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,1,6,4,1,
847,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,CLARK,8702452622,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,3,6,1,6,3,6,
848,LEVI HOSPITAL,300 PROSPECT AVE,HOT SPRINGS,AR,71901,GARLAND,5016241281,1,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
849,RANGELY DISTRICT HOSPITAL,225 EAGLECREST,RANGELY,CO,81648,RIO BLANCO,9706755011,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
850,PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,LOS ANGELES,5269045000,1,10,TRUE,FALSE,3,6,1,6,3,6,3,6,2,6,3,6,2,6,3,6,
851,SAINT VINCENT MEDICAL CENTER,2131 W 3RD ST,LOS ANGELES,CA,90057,LOS ANGELES,2134847111,1,8,TRUE,TRUE,4,6,1,6,1,6,2,6,2,6,3,6,3,6,2,6,
852,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,4807283000,1,9,TRUE,TRUE,4,6,1,6,2,6,1,6,2,6,3,6,2,6,1,6,
853,KECK HOSPITAL OF USC,1500 SAN PABLO ST,LOS ANGELES,CA,90033,LOS ANGELES,3234428656,1,9,FALSE,TRUE,3,6,3,6,3,6,2,6,3,6,3,6,4,1,2,6,
854,PLACENTIA LINDA HOSPITAL,1301 N ROSE DRIVE,PLACENTIA,CA,92870,ORANGE,7149932000,1,6,TRUE,TRUE,3,6,3,6,3,6,2,6,2,6,3,6,1,6,3,6,
855,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,SEMINOLE,4073214500,1,6,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,3,6,3,6,3,6,
856,STAMFORD HOSPITAL,30 SHELBURNE ROAD,STAMFORD,CT,6904,FAIRFIELD,2032761000,1,10,TRUE,TRUE,3,6,1,6,2,6,3,6,3,6,3,6,3,6,1,6,
857,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,,9078524611,3,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
858,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,4797545454,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,2,6,3,6,4,1,
859,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,CA,95945,NEVADA,5302746000,1,9,TRUE,TRUE,3,6,3,6,1,6,1,6,2,6,3,6,2,6,3,6,
860,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,11650 W 2ND PLACE,LAKEWOOD,CO,80228,JEFFERSON,7203215000,1,6,TRUE,TRUE,6,2,4,1,3,6,4,1,1,6,4,1,4,1,4,1,
861,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,COLUMBIA,3862928000,1,10,TRUE,TRUE,3,6,3,6,4,1,2,6,2,6,3,6,3,6,4,1,
862,SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,LONE PINE,CA,93545,INYO,7608765501,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
863,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,2134133000,1,6,TRUE,TRUE,2,6,1,6,3,6,2,6,2,6,3,6,2,6,3,6,
864,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,LOS ANGELES,8189817111,1,10,TRUE,TRUE,2,6,1,6,1,6,2,6,2,6,3,6,1,6,4,1,
865,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,CA,93637,MADERA,5596755555,1,9,TRUE,TRUE,2,6,2,6,3,6,3,6,2,6,3,6,2,6,4,1,
866,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,SEBRING,FL,33870,HIGHLANDS,8633856101,1,6,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,3,6,4,1,
867,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,APACHE,9283334368,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,3,6,
868,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,MARICOPA,4806039000,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
869,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,LOS ANGELES,3104235000,1,9,TRUE,TRUE,4,6,1,6,2,6,1,6,3,6,1,6,2,6,1,6,
870,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,DUVAL,9049532000,1,10,TRUE,TRUE,4,6,1,6,1,6,2,6,1,6,3,6,3,6,3,6,
871,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,1,2,TRUE,TRUE,4,6,3,6,1,6,1,6,1,6,3,6,1,6,3,6,
872,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,CARROLL,7704563101,1,2,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,3,6,
873,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BLVD,PANORAMA CITY,CA,91402,LOS ANGELES,8189043100,1,10,TRUE,TRUE,3,6,1,6,3,6,2,6,2,6,3,6,3,6,4,1,
874,LAKE WALES MEDICAL CENTER,410 S 11TH ST,LAKE WALES,FL,33853,POLK,8636761433,1,6,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
875,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVE,LOS ANGELES,CA,90034,LOS ANGELES,2138572201,1,10,TRUE,TRUE,3,4,4,1,3,6,4,1,2,6,3,6,4,1,4,1,
876,MADISON COUNTY MEMORIAL HOSPITAL,224 NW CRANE AVE,MADISON,FL,32340,MADISON,8509732271,3,2,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
877,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,AUSTELL,GA,30106,COBB,7707324000,1,9,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
878,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4101 TORRANCE BLVD,TORRANCE,CA,90503,LOS ANGELES,3105407676,1,8,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
879,BARSTOW COMMUNITY HOSPITAL,820 E MOUNTAIN VIEW STREET,BARSTOW,CA,92311,SAN BERNARDINO,7602561761,1,6,TRUE,TRUE,3,6,3,6,3,6,2,6,3,6,3,6,2,6,3,6,
880,SWEDISH MEDICAL CENTER,501 E HAMPDEN AVENUE,ENGLEWOOD,CO,80113,ARAPAHOE,3037885000,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,1,6,1,6,3,6,
881,ST FRANCIS HOSPITAL,2122 MANCHESTER EXPRESSWAY,COLUMBUS,GA,31995,MUSCOGEE,7065964020,1,10,TRUE,TRUE,3,6,2,6,3,6,1,6,2,6,3,6,2,6,3,6,
882,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,DC,20010,DISTRICT OF COLUMBIA,2028777000,1,9,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,2,6,2,6,1,6,
883,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,6022490212,1,6,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,2,6,3,6,4,1,
884,FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET,SALEM,AR,72576,FULTON,8708952691,3,3,TRUE,TRUE,2,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
885,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91209,LOS ANGELES,8187907100,1,10,TRUE,TRUE,2,6,3,6,3,6,3,6,2,6,3,6,2,6,3,6,
886,COFFEE REGIONAL MEDICAL CENTER,1101 OCILLA ROAD,DOUGLAS,GA,31533,COFFEE,9123835620,1,2,TRUE,TRUE,3,6,3,6,1,6,2,6,3,6,3,6,1,6,2,6,
887,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,1,6,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
888,KEEFE MEMORIAL HOSPITAL,602 N 6TH W ST,CHEYENNE WELLS,CO,80810,CHEYENNE,7197675661,1,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
889,TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,8504311155,1,10,TRUE,TRUE,3,6,2,6,1,6,3,6,3,6,3,6,2,6,1,6,
890,BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,LOS ANGELES,3237261222,1,10,TRUE,TRUE,3,6,1,6,3,6,2,6,2,6,3,6,2,6,3,6,
891,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,1,4,TRUE,TRUE,3,6,3,6,3,6,2,6,1,6,3,6,2,6,2,6,
892,CAMPBELLTON-GRACEVILLE HOSPITAL,5429 COLLEGE DR,GRACEVILLE,FL,32440,JACKSON,8502637201,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
893,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,PULASKI,5016865000,1,4,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,2,6,2,6,1,6,
894,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,MARICOPA,6029331000,2,10,FALSE,TRUE,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
895,RONALD REAGAN U C L A MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,CA,90095,LOS ANGELES,3108256301,1,4,TRUE,TRUE,3,6,1,6,2,6,2,6,1,6,3,6,2,6,2,6,
896,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,94403,SAN MATEO,6505732222,1,3,TRUE,TRUE,3,6,4,1,3,6,4,1,2,6,3,6,2,6,3,6,
897,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,MOHAVE,9288558185,1,6,TRUE,TRUE,2,6,3,6,3,6,2,6,2,6,3,6,1,6,2,6,
898,MEMORIAL HOSPITAL OF TAMPA,2901 W SWANN AVE,TAMPA,FL,33609,HILLSBOROUGH,8138736400,1,6,TRUE,TRUE,3,6,3,6,3,6,2,6,2,6,3,6,1,6,3,6,
899,MELISSA MEMORIAL HOSPITAL,1001 E JOHNSON STREET,HOLYOKE,CO,80734,PHILLIPS,9708542241,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
900,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,540 THE RIALTO,VENICE,FL,34285,SARASOTA,9414857711,1,6,TRUE,TRUE,3,6,2,6,3,6,1,6,2,6,3,6,3,6,3,6,
901,MERCY HOSPITAL WALDRON,1341 WEST SIXTH STREET,WALDRON,AR,72958,SCOTT,4796374135,3,10,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
902,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,5012783100,1,10,TRUE,TRUE,3,6,2,6,1,6,3,6,1,6,3,6,1,6,2,6,
903,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,1,9,TRUE,TRUE,3,6,3,6,2,6,3,6,3,6,3,6,3,6,3,6,
904,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,OKALOOSA,8506898100,1,10,TRUE,TRUE,3,6,3,6,1,6,3,6,2,6,3,6,3,6,3,6,
905,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",ATLANTA,GA,30303,FULTON,4046164252,1,9,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
906,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,8703385800,1,6,TRUE,TRUE,2,6,3,6,3,6,2,6,3,6,3,6,1,6,4,1,
907,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,1,6,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,2,6,2,6,3,6,
908,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,101 CITY DRIVE SOUTH,ORANGE,CA,92868,ORANGE,7144566112,1,3,TRUE,TRUE,2,6,3,6,3,6,2,6,3,6,3,6,2,6,3,6,
909,WRAY COMMUNITY DISTRICT HOSPITAL,1017 W 7TH ST,WRAY,CO,80758,YUMA,9703324811,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
910,ST VINCENT'S MEDICAL CENTER RIVERSIDE,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,DUVAL,9043087300,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
911,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,1,2,TRUE,TRUE,3,6,2,6,1,6,3,6,3,6,3,6,1,6,3,6,
912,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,ARAPAHOE,3037305888,1,8,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,3,6,3,6,
913,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,9167342011,1,9,TRUE,TRUE,3,6,1,6,2,6,2,6,2,6,3,6,2,6,3,6,
914,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE,ALBANY,GA,31703,DOUGHERTY,2293124068,1,2,TRUE,TRUE,1,6,2,6,2,6,2,6,2,6,2,6,2,6,1,6,
915,GREEN VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,PIMA,5203934710,1,6,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
916,"VILLAGES REGIONAL HOSPITAL, THE",1451 EL CAMINO REAL,THE VILLAGES,FL,32159,SUMTER,3527518000,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,2,6,2,6,2,6,1,6,
917,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,1101 JACKSON STREET SW,GRAVETTE,AR,72736,BENTON,4797875291,3,6,TRUE,TRUE,4,6,4,1,4,1,3,6,1,6,3,6,1,6,4,1,
918,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,32610,ALACHUA,3522658000,1,10,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,3,6,2,6,3,6,
919,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,WILLCOX,AZ,85643,COCHISE,5203843541,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
920,WEST ANAHEIM MEDICAL CENTER,3033 W ORANGE AVENUE,ANAHEIM,CA,92804,ORANGE,7148273000,1,6,TRUE,TRUE,3,6,1,6,1,6,3,6,2,6,3,6,2,6,3,6,
921,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DRIVE,FRISCO,CO,80443,SUMMIT,9706683300,1,8,FALSE,TRUE,4,6,4,1,4,1,3,6,1,6,3,6,1,6,4,1,
922,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,1,6,TRUE,TRUE,3,6,3,6,1,6,3,6,2,6,3,6,3,6,3,6,
923,HENRY MAYO NEWHALL  HOSPITAL,23845  MCBEAN PKWY,VALENCIA,CA,91355,LOS ANGELES,6612538000,1,10,TRUE,TRUE,3,6,1,6,3,6,2,6,2,6,3,6,2,6,3,6,
924,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,LOS ANGELES,6263388481,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
925,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,1,10,TRUE,TRUE,3,6,3,6,1,6,3,6,2,6,3,6,1,6,3,6,
926,GEORGE E WEEMS MEMORIAL HOSPITAL,135 AVE G,APALACHICOLA,FL,32320,FRANKLIN,8506538853,3,3,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
927,HOMESTEAD HOSPITAL,975 BAPTIST WAY,HOMESTEAD,FL,33033,MIAMI-DADE,7862438000,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,2,6,1,6,
928,PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,LOXAHATCHEE,FL,33470,PALM BEACH,5617534245,1,6,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,3,6,3,6,3,6,
929,"HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,NEW BRITAIN,CT,6050,HARTFORD,8602245011,1,9,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
930,BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,CA,93308,KERN,6613166000,1,6,TRUE,TRUE,2,6,3,6,2,6,3,6,3,6,3,6,2,6,4,1,
